DBSCAN,SVMOneHotEncode,IsolationForest,LOF,GMM,KNEE,PCA,KDEOneHotEncoder,Outliers
0,0,0,0,0.0,0.0,0.0,-1,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,-1,0,0.0,-1.0,-1.0,-1,0.5
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,-1.0,0.0,0.0,0,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,-1,-1.0,0.0,0.0,0,0.25
0,0,0,-1,-1.0,0.0,0.0,0,0.25
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,-1.0,0.0,0.0,0,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,-1,-1,0,0.0,0.0,-1.0,-1,0.5
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,-1,0.0,0.0,0.0,0,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,-1,0.0,0.0,0.0,0,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,-1,0,0.0,0.0,0.0,0,0.12
-1,-1,-1,-1,-1.0,0.0,-1.0,-1,0.88
0,0,0,0,-1.0,0.0,0.0,0,0.12
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,0,0.0,0.0,0.0,0,0.0
0,0,0,-1,0.0,0.0,0.0,0,0.12
-1,-1,0,-1,0.0,-1.0,-1.0,-1,0.75
0,0,0,0,0.0,0.0,0.0,0,0.0
